Position,AbundanceChange1,AbundanceChangeN,Hemisphere,Sampling,taxa_gp,DOI_Record,Timespan
0.87762,Positive,1,S,Timeseries,Fish,2130,19
0.92551,Positive,1,N,Irregular,Fish,1098,90
0.6683,Negative,0,N,Twopoint,Invertebrates,1078,30
0.51235,Negative,0,N,Irregular,Phytoplankton,2090,98
0.70618,Positive,1,N,Irregular,Phytoplankton,2090,77
0.67544,Positive,1,N,Irregular,Phytoplankton,2090,77
0.71458,Positive,1,N,Timeseries,Larvalbonyfish,2111,52
1,Positive,1,N,Irregular,Fish,1095,36
0.05414,Positive,1,N,Timeseries,Larvalbonyfish,2111,52
0.89682,Positive,1,S,Irregular,Fish,2116,131
0.59303,Positive,1,N,Irregular,Fish,1098,90
0.96254,Negative,0,N,Irregular,Fish,1098,90
0.87738,Positive,1,N,Timeseries,Fish,1098,22
0.5459,Positive,1,N,Timeseries,Larvalbonyfish,2111,52
0.90909,Negative,0,N,Timeseries,Invertebrates,2079,27
1,Positive,1,S,Irregular,Fish,2116,131
0.82611,Positive,1,N,Irregular,Macroalgae,101080,55
1,Positive,1,S,Irregular,Fish,2116,131
0.65827,Positive,1,N,Timeseries,Zooplankton,2109,31
0.93496,Positive,1,N,Timeseries,Zooplankton,2109,31
0.59815,Positive,1,N,Timeseries,Invertebrates,1116,40
0.00093,Positive,1,N,Timeseries,Fish,2046,28
0.25314,Positive,1,N,Timeseries,Fish,1033,37
0.29045,Positive,1,N,Timeseries,Fish,1033,37
0.03155,Negative,0,N,Timeseries,Fish,1101,47
0.45886,Positive,1,N,Timeseries,Fish,1098,22
0.4684,Negative,0,N,Timeseries,Fish,1033,37
0.53254,Positive,1,N,Timeseries,Fish,1033,37
0.54337,Negative,0,N,Timeseries,Fish,1033,37
0.66688,Negative,0,N,Timeseries,Fish,2120,29
0.66688,Positive,1,N,Timeseries,Fish,2120,29
0.71022,Positive,1,N,Timeseries,Fish,2120,29
0.75356,Negative,0,N,Timeseries,Fish,2120,29
1,Positive,1,N,Timeseries,Fish,1079,20
1,Positive,1,N,Timeseries,Fish,2120,29
0.77242,Positive,1,N,Irregular,Macroalgae,101080,55
0.18965,Negative,0,N,Twopoint,Invertebrates,1093,25
0.71402,Positive,1,N,Irregular,Invertebrates,1093,39
0.31426,Positive,1,N,Timeseries,Larvalbonyfish,2111,52
0.76118,Negative,0,N,Timeseries,Fish,1098,22
0.5774,Positive,1,N,Irregular,Invertebrates,2051,66
1,Positive,1,S,Irregular,Fish,2116,131
0.10986,Negative,0,N,Timeseries,Invertebrates,2019,23
0.47355,Positive,1,N,Timeseries,Invertebrates,2046,28
0.5778,Positive,1,N,Timeseries,Invertebrates,1084,34
0.54581,Positive,1,N,Irregular,Invertebrates,2051,66
0.91935,Positive,1,N,Irregular,Macroalgae,101080,55
0.63991,Positive,1,N,Timeseries,Fish,1033,37
1,Positive,1,N,Timeseries,Fish,1101,47
0.96205,Positive,1,S,Irregular,Fish,2116,131
0.73411,Positive,1,N,Timeseries,Mammalsandreptiles,2019,27
0.98826,Positive,1,N,Timeseries,Mammalsandreptiles,2133,56
1,Positive,1,S,Timeseries,Fish,2130,19
0.20068,Positive,1,N,Timeseries,Larvalbonyfish,2111,52
0.84663,Positive,1,N,Timeseries,Fish,2046,28
0.86103,Positive,1,N,Timeseries,Fish,1033,37
0.96249,Positive,1,N,Timeseries,Fish,1033,37
0.97962,Positive,1,N,Timeseries,Fish,1033,37
1,Positive,1,N,Timeseries,Fish,1010,20
1,Positive,1,N,Timeseries,Fish,1092,21
0.68061,Positive,1,N,Irregular,Macroalgae,101080,55
0.40119,Positive,1,N,Timeseries,Phytoplankton,101016,30
1,Negative,0,N,Timeseries,Zooplankton,2018,21
0.76256,Positive,1,N,Timeseries,Larvalbonyfish,2111,52
0.11496,Negative,0,S,Timeseries,Fish,2130,19
0,Positive,1,S,Timeseries,Fish,2130,19
1,Negative,0,N,Timeseries,Zooplankton,2018,21
0.85335,Positive,1,N,Timeseries,Invertebrates,1026,22
0.96047,Positive,1,S,Irregular,Fish,2116,131
0.74819,Positive,1,N,Timeseries,Fish,1033,37
0.83698,Positive,1,N,Timeseries,Fish,1033,37
0.85198,Positive,1,N,Timeseries,Fish,1033,37
1,Positive,1,N,Timeseries,Fish,1073,80
0.77539,Positive,1,N,Timeseries,Zooplankton,2057,57
0.18565,Positive,1,N,Timeseries,Larvalbonyfish,1111,56
0.42657,Positive,1,N,Timeseries,Fish,2046,28
0.64345,Positive,1,N,Timeseries,Larvalbonyfish,2043,48
0.79109,Positive,1,N,Timeseries,Fish,2070,81
1,Positive,1,S,Irregular,Fish,2116,131
1,Positive,1,N,Irregular,Fish,1095,36
1,Positive,1,S,Irregular,Fish,2116,131
0.14165,Negative,0,S,Irregular,Seabirds,2030,25
0.62353,Negative,0,S,Timeseries,Seabirds,101002,28
1,Positive,1,S,Irregular,Fish,2116,131
0.48427,Negative,0,S,Timeseries,Zooplankton,2021,20
0.41022,Negative,0,S,Timeseries,Zooplankton,2042,28
0.54742,Negative,0,N,Timeseries,Fish,1033,37
0.8168,Positive,1,N,Irregular,Invertebrates,2051,66
1,Positive,1,N,Irregular,Fish,1095,36
0.92093,Positive,1,S,Timeseries,Seabirds,2030,37
0.48188,Positive,1,N,Irregular,Fish,2091,41
1,Positive,1,N,Timeseries,Fish,2144,41
0.44041,Positive,1,N,Timeseries,Fish,2093,34
0.49451,Positive,1,N,Timeseries,Fish,2120,29
0.5027,Positive,1,N,Irregular,Fish,1098,90
0.56008,Positive,1,N,Timeseries,Fish,1098,22
0.5721,Negative,0,N,Timeseries,Fish,1033,37
0.65297,Positive,1,N,Timeseries,Fish,1033,37
0.66663,Negative,0,N,Timeseries,Fish,1033,37
0.65843,Negative,0,N,Timeseries,Fish,101016,43
0.76772,Negative,0,N,Timeseries,Fish,2151,47
0.8005,Negative,0,N,Timeseries,Fish,1021,43
0.82236,Negative,0,N,Timeseries,Fish,2120,29
0.82236,Negative,0,N,Timeseries,Fish,2120,29
0.86061,Negative,0,N,Timeseries,Fish,2120,29
0.82236,Negative,0,N,Timeseries,Fish,2120,29
0.877,Positive,1,N,Timeseries,Fish,2120,29
1,Negative,0,N,Timeseries,Fish,2148,20
1,Negative,0,N,Timeseries,Fish,2120,29
1,Negative,0,N,Timeseries,Fish,2120,29
1,Negative,0,N,Timeseries,Fish,2120,29
1,Positive,1,S,Irregular,Fish,2116,131
1,Positive,1,S,Irregular,Fish,2116,131
1,Positive,1,S,Irregular,Fish,2116,131
1,Positive,1,S,Irregular,Fish,2116,131
0.71939,Negative,0,N,Timeseries,Mammalsandreptiles,2133,56
1,Positive,1,N,Timeseries,Fish,1079,20
1,Positive,1,S,Irregular,Fish,2116,131
0.91737,Positive,1,S,Irregular,Fish,2116,131
0.0443,Negative,0,N,Irregular,Invertebrates,2136,25
0.38848,Positive,1,S,Irregular,Seabirds,2092,27
1,Negative,0,S,Irregular,Fish,2116,131
0.93231,Positive,1,S,Irregular,Fish,2116,131
1,Negative,0,N,Timeseries,Fish,2144,26
1,Negative,0,N,Timeseries,Fish,1079,20
0.44197,Positive,1,N,Timeseries,Invertebrates,1101,47
0.43431,Negative,0,N,Timeseries,Seabirds,2019,27
0.77879,Positive,1,N,Timeseries,Larvalbonyfish,2111,52
0.61957,Negative,0,N,Timeseries,Mammalsandreptiles,2133,56
0.18927,Positive,1,N,Timeseries,Fish,1033,37
0.32911,Positive,1,N,Timeseries,Fish,1033,37
0.35274,Positive,1,N,Timeseries,Fish,1033,37
1,Positive,1,S,Irregular,Fish,2116,131
1,Positive,1,S,Irregular,Fish,2116,131
0.03839,Positive,1,N,Timeseries,Larvalbonyfish,2111,52
0.75167,Positive,1,N,Timeseries,Larvalbonyfish,2128,48
1,Positive,1,S,Irregular,Fish,2116,131
1,Negative,0,N,Irregular,Fish,1095,36
0.54695,Negative,0,N,Timeseries,Mammalsandreptiles,2133,56
0.54794,Negative,0,S,Irregular,Fish,2116,131
1,Positive,1,S,Irregular,Fish,2116,131
0.08515,Negative,0,N,Irregular,Invertebrates,2051,66
0.51322,Positive,1,N,Timeseries,Fish,1101,47
0.2906,Negative,0,N,Timeseries,Larvalbonyfish,2111,52
0.9786,Positive,1,N,Timeseries,Invertebrates,1101,47
0,Negative,0,N,Timeseries,Fish,1010,20
0,Negative,0,N,Timeseries,Fish,1092,21
0,Negative,0,N,Timeseries,Fish,2046,28
0.01586,Negative,0,N,Timeseries,Fish,1033,37
0.20188,Negative,0,N,Timeseries,Fish,1033,37
0.2333,Negative,0,N,Timeseries,Fish,1033,37
0.21445,Negative,0,N,Timeseries,Fish,101016,43
1,Negative,0,N,Timeseries,Fish,1079,20
0.96213,Negative,0,N,Timeseries,Invertebrates,1101,47
0.415,Positive,1,N,Timeseries,Invertebrates,101016,43
0.29897,Negative,0,N,Timeseries,Fish,2046,28
0.30546,Negative,0,N,Timeseries,Fish,1033,37
0.35115,Positive,1,N,Timeseries,Fish,1033,37
0.35887,Negative,0,N,Timeseries,Fish,1033,37
0.27307,Positive,1,N,Timeseries,Larvalbonyfish,2128,48
0.35381,Negative,0,N,Irregular,Invertebrates,2051,66
1,Positive,1,N,Timeseries,Fish,1079,20
0.76771,Positive,1,S,Timeseries,Fish,2130,19
1,Positive,1,N,Irregular,Fish,1095,36
0.97243,Positive,1,S,Timeseries,Fish,2130,19
0.97979,Positive,1,N,Irregular,Fish,1095,36
0.01265,Positive,1,N,Timeseries,Larvalbonyfish,2111,52
0.41527,Negative,0,N,Irregular,Fish,2091,26
0.61992,Positive,1,N,Timeseries,Fish,2145,22
0.62837,Positive,1,N,Irregular,Fish,2145,20
0.6719,Negative,0,N,Timeseries,Fish,1079,20
0.79579,Positive,1,N,Timeseries,Mammalsandreptiles,2133,56
0.71897,Negative,0,N,Timeseries,Fish,2120,29
0.85948,Positive,1,N,Timeseries,Fish,2148,20
0.95316,Negative,0,N,Timeseries,Fish,2120,29
1,Positive,1,N,Timeseries,Fish,1079,20
1,Negative,0,N,Timeseries,Fish,2120,29
0,Positive,1,N,Irregular,Fish,1098,90
0,Negative,0,N,Timeseries,Fish,1098,22
0.00293,Negative,0,N,Timeseries,Fish,1033,37
0.18474,Negative,0,N,Timeseries,Fish,1033,37
0.21545,Positive,1,N,Timeseries,Fish,1033,37
0.56556,Negative,0,N,Timeseries,Fish,2120,29
0.6884,Negative,0,N,Timeseries,Fish,2120,29
1,Positive,1,N,Timeseries,Fish,1079,20
0.38337,Negative,0,N,Timeseries,Fish,1101,47
0.43347,Negative,0,N,Timeseries,Fish,2019,23
0.62968,Negative,0,N,Irregular,Fish,1098,90
0.66969,Positive,1,N,Timeseries,Fish,1098,22
0.24303,Positive,1,N,Timeseries,Larvalbonyfish,2111,52
0.9429,Negative,0,N,Timeseries,Mammalsandreptiles,2133,56
0.47964,Negative,0,N,Timeseries,Zooplankton,2018,21
0.47197,Positive,1,N,Timeseries,Fish,1010,20
0.6402,Positive,1,N,Irregular,Fish,1098,90
0.7899,Positive,1,N,Timeseries,Fish,1079,20
0,Negative,0,N,Timeseries,Fish,1010,20
0.01896,Negative,0,N,Irregular,Fish,1098,90
0.84036,Positive,1,N,Timeseries,Fish,1079,20
0.03612,Positive,1,N,Timeseries,Larvalbonyfish,2111,52
0.23267,Positive,1,N,Irregular,Fish,1098,90
0.90589,Positive,1,S,Irregular,Seabirds,2007,37
0.6332,Positive,1,S,Irregular,Seabirds,2007,125
0.62566,Positive,1,S,Irregular,Seabirds,2007,35
0.90589,Positive,1,S,Irregular,Seabirds,2007,62
1,Negative,0,N,Timeseries,Zooplankton,2018,21
0.69574,Positive,1,N,Irregular,Fish,1098,90
0.91924,Positive,1,N,Timeseries,Fish,1073,80
0.99566,Positive,1,N,Irregular,Fish,1074,79
0.66635,Negative,0,N,Twopoint,Invertebrates,1078,30
1,Positive,1,N,Irregular,Fish,1095,36
0.79406,Positive,1,N,Timeseries,Larvalbonyfish,2111,52
0.93625,Positive,1,S,Irregular,Fish,2116,131
0.13842,Negative,0,N,Timeseries,Fish,1101,47
0.17097,Positive,1,N,Timeseries,Fish,101111,33
0.47044,Positive,1,N,Timeseries,Larvalbonyfish,2128,48
0.19266,Positive,1,N,Timeseries,Larvalbonyfish,2111,52
0.29396,Positive,1,N,Timeseries,Invertebrates,2046,28
1,Positive,1,S,Irregular,Fish,2116,131
1,Positive,1,S,Irregular,Fish,2116,131
1,Positive,1,N,Irregular,Fish,1095,36
0.95608,Positive,1,N,Timeseries,Phytoplankton,2095,22
1,Positive,1,S,Irregular,Fish,2116,131
0.76977,Positive,1,N,Timeseries,Larvalbonyfish,2111,52
0.7501,Positive,1,N,Timeseries,Larvalbonyfish,2111,52
0.45298,Positive,1,S,Irregular,Seabirds,2092,27
0.62037,Positive,1,N,Irregular,Invertebrates,2051,66
1,Positive,1,N,Irregular,Fish,1095,36
0.91156,Positive,1,S,Irregular,Fish,2116,131
0.91666,Positive,1,S,Irregular,Fish,2116,131
1,Positive,1,S,Irregular,Fish,2116,131
0.81637,Positive,1,N,Irregular,Mammalsandreptiles,1108,103
1,Negative,0,S,Irregular,Fish,2116,131
0.10916,Positive,1,N,Timeseries,Fish,1033,37
0.65191,Positive,1,N,Timeseries,Invertebrates,1101,47
0.03461,Positive,1,N,Timeseries,Larvalbonyfish,2111,52
0.01291,Positive,1,S,Timeseries,Fish,2130,19
0.69157,Positive,1,N,Timeseries,Invertebrates,2046,28
0.36846,Negative,0,N,Timeseries,Invertebrates,2093,34
0.34966,Positive,1,N,Timeseries,Invertebrates,2046,28
0.88361,Negative,0,N,Twopoint,Invertebrates,1012,46
0.55059,Positive,1,N,Timeseries,Larvalbonyfish,2111,52
0.65874,Positive,1,N,Timeseries,Fish,101093,37
0.92258,Positive,1,N,Timeseries,Fish,1101,47
0.86708,Positive,1,N,Timeseries,Fish,1101,47
0.01484,Negative,0,N,Timeseries,Larvalbonyfish,2111,52
1,Positive,1,S,Timeseries,Fish,2130,19
0.37045,Positive,1,N,Irregular,Invertebrates,2045,26
0.8758,Negative,0,N,Timeseries,Zooplankton,2018,21
0.74822,Positive,1,N,Timeseries,Fish,1101,47
0.05828,Negative,0,N,Irregular,Invertebrates,2051,66
0.32711,Negative,0,S,Irregular,Seabirds,2092,27
0,Negative,0,N,Timeseries,Fish,1010,20
0.68974,Positive,1,N,Irregular,Macroalgae,101080,55
0,Negative,0,N,Timeseries,Fish,1010,20
0.92152,Positive,1,S,Irregular,Fish,2116,131
0.79711,Positive,1,S,Timeseries,Fish,2130,19
1,Positive,1,S,Irregular,Fish,2116,131
0,Negative,0,N,Timeseries,Fish,1010,20
0,Negative,0,N,Timeseries,Fish,1092,21
0,Negative,0,N,Timeseries,Fish,2120,29
0,Positive,1,N,Irregular,Fish,1098,90
0,Negative,0,N,Timeseries,Fish,2120,29
0.05763,Positive,1,N,Timeseries,Fish,1098,22
0.08547,Negative,0,N,Timeseries,Fish,1033,37
0.27275,Negative,0,N,Timeseries,Fish,1033,37
0.30439,Positive,1,N,Timeseries,Fish,1033,37
0.28541,Negative,0,N,Timeseries,Fish,101016,43
0.66504,Negative,0,N,Timeseries,Fish,2120,29
0.75362,Negative,0,N,Timeseries,Fish,2120,29
0.79158,Positive,1,N,Timeseries,Fish,2120,29
1,Positive,1,N,Timeseries,Fish,1079,20
0.66595,Positive,1,N,Timeseries,Larvalbonyfish,2111,52
0,Negative,0,N,Timeseries,Fish,2019,23
0.02287,Negative,0,N,Irregular,Fish,1098,90
0.12081,Positive,1,N,Timeseries,Fish,1098,22
0.81319,Negative,0,N,Timeseries,Fish,2120,29
1,Positive,1,N,Timeseries,Fish,2120,29
1,Negative,0,N,Timeseries,Fish,2120,29
1,Positive,1,N,Timeseries,Fish,1079,20
1,Positive,1,N,Timeseries,Fish,2120,29
0.84742,positive,1,N,Timeseries,Invertebrates,2046,28
0.83927,Positive,1,N,Timeseries,Invertebrates,101098,32
0.88475,Positive,1,N,Irregular,Macroalgae,101080,55
0.92527,Positive,1,N,Timeseries,Fish,1101,47
1,Positive,1,S,Irregular,Fish,2116,131
0.85199,Negative,0,N,Timeseries,Fish,1101,47
0.91636,Positive,1,N,Timeseries,Fish,1101,47
0.59021,Negative,0,N,Irregular,Macroalgae,101080,55
0.31873,Positive,1,N,Timeseries,Larvalbonyfish,2111,52
0.67995,Negative,0,N,Timeseries,Zooplankton,2018,21
0.25422,Negative,0,N,Timeseries,Fish,1101,47
0.14836,Negative,0,S,Irregular,Seabirds,2092,27
0.89589,Positive,1,N,Irregular,Macroalgae,101080,55
1,Positive,1,S,Timeseries,Seabirds,2065,39
0.55762,Positive,1,S,Timeseries,Seabirds,2030,39
0.3942,Positive,1,S,Timeseries,Seabirds,2072,20
0.20692,Negative,0,S,Timeseries,Seabirds,2065,21
0.06874,Negative,0,S,Timeseries,Seabirds,2065,22
0,Negative,0,S,Timeseries,Seabirds,2065,22
0.5259,Negative,0,S,Timeseries,Seabirds,2039,27
0.76112,Positive,1,S,Timeseries,Seabirds,2039,27
0.49059,Negative,0,N,Irregular,Fish,2091,41
0.79179,Negative,0,N,Timeseries,Fish,2144,41
0.80088,Positive,1,N,Irregular,Macroalgae,101080,55
0.42486,Negative,0,N,Timeseries,Seabirds,2015,19
0.42486,Positive,1,N,Timeseries,Seabirds,2015,19
0.49466,Negative,0,N,Timeseries,Seabirds,2015,19
0.51792,Negative,0,N,Timeseries,Seabirds,2015,19
0.55282,Negative,0,N,Timeseries,Seabirds,2015,19
0.58772,Negative,0,N,Timeseries,Seabirds,2015,19
0.80576,Positive,1,N,Irregular,Macroalgae,101080,55
0,Negative,0,N,Timeseries,Fish,1096,88
0.00857,Negative,0,N,Timeseries,Fish,2112,41
0.71839,Positive,1,S,Timeseries,Zooplankton,2021,21
0.66738,Positive,1,S,Timeseries,Zooplankton,2042,78
0.46206,Negative,0,N,Timeseries,Fish,1106,95
0.86011,Positive,1,N,Timeseries,Larvalbonyfish,2147,77
1,Positive,1,N,Timeseries,Fish,1073,80
1,Positive,1,N,Timeseries,Fish,1072,79
1,Positive,1,N,Irregular,Fish,1009,54
0.85875,Positive,1,N,Timeseries,Fish,1073,80
0.47075,Negative,0,N,Timeseries,Fish,1101,47
0.59943,Positive,1,N,Timeseries,Fish,1033,37
0.66628,Positive,1,N,Timeseries,Fish,1033,37
0.67758,Positive,1,N,Timeseries,Fish,1033,37
0.5834,Negative,0,N,Irregular,Fish,1098,90
0.6454,Positive,1,N,Timeseries,Fish,1033,37
0.71765,Positive,1,N,Timeseries,Fish,1033,37
0.72986,Positive,1,N,Timeseries,Fish,1033,37
0.82409,Positive,1,S,Timeseries,Fish,2130,19
0.02618,Negative,0,N,Timeseries,Larvalbonyfish,2111,52
0.94082,Positive,1,S,Irregular,Fish,2116,131
0.9585,Positive,1,S,Irregular,Fish,2116,131
0.82721,Positive,1,N,Irregular,Fish,1098,90
0.91363,Positive,1,N,Irregular,Fish,1098,90
0.02275,Negative,0,N,Timeseries,Larvalbonyfish,2111,52
0.03465,Negative,0,N,Timeseries,Larvalbonyfish,2111,52
0.01426,Negative,0,N,Timeseries,Larvalbonyfish,2111,52
0.24565,Negative,0,N,Timeseries,Invertebrates,1116,40
0.35286,Positive,1,N,Twopoint,Invertebrates,1012,46
0.08932,Positive,1,S,Timeseries,Fish,2130,19
0.51167,Negative,0,N,Timeseries,Fish,1092,21
0.6317,Positive,1,N,Timeseries,Fish,2120,29
0.63836,Negative,0,N,Irregular,Fish,1098,90
0.64948,Positive,1,N,Timeseries,Fish,2120,29
0.68549,Positive,1,N,Timeseries,Fish,2046,28
0.76061,Negative,0,N,Timeseries,Fish,1033,37
0.77173,Positive,1,N,Timeseries,Fish,1033,37
0.76506,Positive,1,N,Timeseries,Fish,101016,43
0.89842,Negative,0,N,Timeseries,Fish,2120,29
1,Positive,1,N,Irregular,Fish,1095,36
0.85066,Positive,1,N,Timeseries,Larvalbonyfish,2111,52
0.14381,Positive,1,N,Timeseries,Fish,1033,37
0.39333,Positive,1,N,Timeseries,Fish,2106,25
1,Positive,1,N,Timeseries,Mammalsandreptiles,2133,56
0.05057,Negative,0,N,Timeseries,Larvalbonyfish,2111,52
0.82098,Positive,1,N,Timeseries,Fish,1101,47
0.77128,Positive,1,N,Irregular,Macroalgae,101080,55
0.70497,Positive,1,N,Timeseries,Larvalbonyfish,2111,52
0.87304,Positive,1,N,Irregular,Macroalgae,101080,55
0.24848,Positive,1,N,Timeseries,Larvalbonyfish,2111,52
0.04955,Positive,1,N,Timeseries,Larvalbonyfish,2111,52
0.06939,Negative,0,N,Timeseries,Larvalbonyfish,2111,52
0.67974,Negative,0,N,Timeseries,Fish,1101,47
0.08671,Negative,0,N,Timeseries,Fish,1101,47
0.65453,Positive,1,N,Irregular,Invertebrates,2051,66
0.21205,Positive,1,N,Timeseries,Larvalbonyfish,2111,52
0.86815,Negative,0,S,Irregular,Seabirds,2092,27
1,Positive,1,N,Irregular,Fish,1095,36
0.25046,Negative,0,N,Irregular,Zooplankton,2091,41
0.00448,Negative,0,N,Irregular,Invertebrates,2051,66
1,Positive,1,S,Irregular,Fish,2116,131
0.08523,Negative,0,N,Timeseries,Larvalbonyfish,2111,52
0.94357,Positive,1,N,Timeseries,Fish,1073,80
0.94361,Positive,1,N,Timeseries,Larvalbonyfish,2111,52
0.24003,Negative,0,N,Timeseries,Fish,2120,29
0.60916,Positive,1,N,Timeseries,Fish,1079,20
0.23669,Positive,1,N,Irregular,Fish,1098,90
0.34025,Positive,1,N,Timeseries,Fish,1098,22
0.53256,Positive,1,N,Timeseries,Fish,1033,37
0.81363,Positive,1,N,Timeseries,Fish,1073,80
0.50138,Positive,1,N,Irregular,Fish,1098,90
0.54482,Positive,1,N,Timeseries,Fish,1098,22
0.61514,Negative,0,N,Timeseries,Fish,1033,37
0.62548,Positive,1,N,Timeseries,Fish,1033,37
0.74338,Positive,1,N,Timeseries,Fish,1073,80
1,Positive,1,S,Irregular,Fish,2116,131
1,Positive,1,S,Irregular,Fish,2116,131
0.1944,Negative,0,N,Timeseries,Seabirds,2077,35
0.88748,Positive,1,S,Irregular,Fish,2116,131
0.50201,Positive,1,N,Timeseries,Fish,1101,47
0.74679,Negative,0,N,Timeseries,Mammalsandreptiles,1103,20
0.98646,Positive,1,N,Timeseries,Larvalbonyfish,2111,52
0,Positive,1,N,Timeseries,Fish,1010,20
0.82959,Positive,1,N,Irregular,Fish,1098,90
0.92871,Positive,1,N,Timeseries,Fish,1073,80
0,Positive,1,N,Timeseries,Fish,1033,37
0.01804,Positive,1,N,Timeseries,Fish,1033,37
0.53069,Negative,0,N,Irregular,Seagrass,2146,59
0.22033,Negative,0,N,Irregular,Seagrass,2050,20
0.22009,Positive,1,N,Irregular,Seagrass,2050,20
