ID_DOI,Latitude,Longitude,Multispecies study (y/n),yrstart,yrend,Significant trend (y/blank),r or r2 value reported (y/blank),Species,Time Series Type ,Position,Abundance Change,Hemisphere,Sampling,Functional group,Timespan,full.ref
2030,-66,136,y,1952,1999,,,Aptenodytes forsteri,Time series,0.37686,Negative,N,Timeseries,Seabirds,48,"Weimerskirch, H., P. Inchausti, C. Guinet and C. Barbraud. 2003. Trends in bird and seal populations as indicators of a system shift in the Southern Ocean. Antarctic Science 15:249-256."
2073,-66.67,140.02,y,1962,2001,,,Aptenodytes forsteri,Time series,0.44664,Negative,S,Timeseries,Seabirds,40,"Jenouvrier, S., H. Weimerskirch, C. Barbraud, Y.-H. Park and B. Cazelles. 2005. Evidence of a shift in the cyclicity of Antarctic seabird dynamics linked to climate. Proceedings of the Royal Society B 272:887-895."
2030,-46.21,51.24,y,1965,1995,,,Aptenodytes patagonicus,Irregular,0,Positive,S,Irregular,Seabirds,31,"Weimerskirch, H., P. Inchausti, C. Guinet and C. Barbraud. 2003. Trends in bird and seal populations as indicators of a system shift in the Southern Ocean. Antarctic Science 15:249-256."
2111,33,-121,y,1951,2002,,,Argentina sialis,Time series,0.43204,Positive,N,Timeseries,Larvalbonyfish,52,"Hsieh, C. H., C. Reiss, W. Watson, M. J. Allen, J. R. Hunter, R. N. Lea, R. H. Rosenblatt, P. E. Smith and G. Sugihara 2005.A comparison of long-term trends and variability in populations of larvae of exploited and unexploited fishes in the southern Calif"
2116,-42,148.3,y,1880,2010,,,Argyrosomus hololepidotus,Irregular,1,Negative,S,Irregular,Fish,131,"Last, P.R., W.T. White, D.C. Gledhill, A.J. Hobday, R. Brown, G.J. Edgar and G. Pecl. 2010. Long-term shifts in abundance and distribution of a temperate fish fauna: a response to climate change and fishing practices. Global Ecology and Biogeography."
2128,33,-121,y,1951,1998,y,,Aristostomias scintillans,Time series,0.2742,Positive,N,Timeseries,Larvalbonyfish,48,"Hsieh, C., H.J. Kim, W. Watson, E. Di Lorenzo and G. Sugihara. 2009. Climate-driven changes in abundance and distribution of larvae of oceanic fishes in the southern Californian region. Global Change Biology 15: 2137-2152"
2111,33,-121,y,1951,2002,,,Aristostomias scintillans,Time series,0.2742,Positive,N,Timeseries,Larvalbonyfish,52,"Hsieh, C. H., C. Reiss, W. Watson, M. J. Allen, J. R. Hunter, R. N. Lea, R. H. Rosenblatt, P. E. Smith and G. Sugihara 2005.A comparison of long-term trends and variability in populations of larvae of exploited and unexploited fishes in the southern Calif"
1010,46,-3,y,1987,2006,y,y,Arnoglossus imperialis,Time series,0.93113,Positive,N,Timeseries,Fish,20,"Hermant, M., J. Lobry, S. Bonhommeau, J. Poulard and O. Le Pape. 2010. Impact of warming on abundance and occurrence of flatfish populations in the Bay of Biscay (France). Journal of Sea Research 64: 45-53"
1033,52.9,4.6,y,1970,2006,,,Arnoglossus laterna,Time series,0.79704,Positive,N,Timeseries,Fish,37,"Tulp, I., Bolle, L.J. and A.D. Rijnsdorp. 2008. Signals from the shallows: In search of common patterns in long-term trends in Dutch estuarine and coastal fish. Journal of Sea Research. 60: 54-73"
1008,53.75,5,y,1969,2008,,,Arnoglossus laterna,Time series,0.82929,Positive,N,Timeseries,Fish,40,"van Hal, R., K. Smits and A.D. Rijnsdorp 2010. How climate warming impacts the distribution and abundance of two small flatfish species in the North Sea. Journal of Sea Research 64: 76-84."
2045,54.5,-5.62,y,1962,2002,y,y,Ascophyllum nodosum ,Irregular,0.41176,Negative,N,Irregular,Macroalgae,41,"Davies, A. J., M. P. Johnson, and C. A. Maggs. 2007. Limpet grazing and loss of Ascophyllum nodosum canopies on decadal time scales. Marine Ecology-Progress Series 339:131-141"
1101,41.26,-71.25,y,1959,2005,y,,Asterias forbesi,Time series,0.78266,Negative,N,Timeseries,Invertebrates,47,"Collie, J.S, Wood A.D. and Jeffries H.P. 2008 Long-term shifts in the species composition of a coastal fish community. Canadian Journal of Fisheries and Aquatic Sciences. 65: 1352-1365"
1101,41.34,-71.25,y,1959,2005,y,,Asterias forbesi,Time series,0.78735,Negative,N,Timeseries,Invertebrates,47,"Collie, J.S, Wood A.D. and Jeffries H.P. 2008 Long-term shifts in the species composition of a coastal fish community. Canadian Journal of Fisheries and Aquatic Sciences. 65: 1352-1365"
1095,30,-86.5,y,1971,2006,,,Astrapogon stellatus,Irregular,1,Negative,N,Irregular,Fish,36,"Fodrie, F.J., K.L. Heck, S.P. Powers, W.M. Graham and K.L. Robinson. 2010. Climate-related, decadal-scale assemblage changes of seagrass-associated fishes in the northern Gulf of Mexico. Global Change Biology 16: 48-59"
2116,-42,148.3,y,1880,2010,,,Atypichthys strigatus,Irregular,1,Positive,S,Irregular,Fish,131,"Last, P.R., W.T. White, D.C. Gledhill, A.J. Hobday, R. Brown, G.J. Edgar and G. Pecl. 2010. Long-term shifts in abundance and distribution of a temperate fish fauna: a response to climate change and fishing practices. Global Ecology and Biogeography."
10619,58.41,8.75,n,1992,2011,y,,Aurelia aurita,Time series,0.74956,Negative,N,Timeseries,Invertebrates,20,"Hosia A, Falkenhaug T, Naustvoll LJ (2014) Trends in abundance and phenology of¬†Aurelia aurita¬†and¬†Cyanea¬†spp. at a Skagerrak location, 1992-2011. Mar Ecol Prog Ser 498:103-115"
2128,33,-121,y,1951,1998,y,,Bathylagoides wesethi,Time series,0.73914,Positive,N,Timeseries,Larvalbonyfish,48,"Hsieh, C., H.J. Kim, W. Watson, E. Di Lorenzo and G. Sugihara. 2009. Climate-driven changes in abundance and distribution of larvae of oceanic fishes in the southern Californian region. Global Change Biology 15: 2137-2152"
2128,33,-121,y,1951,1998,,,Bathylagus pacificus,Time series,0.19755,Positive,N,Timeseries,Larvalbonyfish,48,"Hsieh, C., H.J. Kim, W. Watson, E. Di Lorenzo and G. Sugihara. 2009. Climate-driven changes in abundance and distribution of larvae of oceanic fishes in the southern Californian region. Global Change Biology 15: 2137-2152"
2111,33,-121,y,1951,2002,,,Bathylagus pacificus,Time series,0.19755,Positive,N,Timeseries,Larvalbonyfish,52,"Hsieh, C. H., C. Reiss, W. Watson, M. J. Allen, J. R. Hunter, R. N. Lea, R. H. Rosenblatt, P. E. Smith and G. Sugihara 2005.A comparison of long-term trends and variability in populations of larvae of exploited and unexploited fishes in the southern Calif"
1010,46,-3,y,1987,2006,,y,Bathysolea profundicola,Time series,0.90084,Positive,N,Timeseries,Fish,20,"Hermant, M., J. Lobry, S. Bonhommeau, J. Poulard and O. Le Pape. 2010. Impact of warming on abundance and occurrence of flatfish populations in the Bay of Biscay (France). Journal of Sea Research 64: 45-53"
1098,50.15,-4.15,y,1913,2002,y,y,Blennius ocellaris,Irregular,0.81719,Positive,N,Irregular,Fish,90,"Genner, M.J., D.W. Sims, V.J. Wearmouth, E.J. Southall, A.J. Southward, P.A. Henderson and S.J. Hawkins. 2004. Regional climatic warming drives long-term community change of British marine fish. Proceedings of the Royal Society of London Series B. 271: 65"
2130,-29.42,31.32,y,1989,2007,,,Bodianus bilunulatus,Time series,0.95424,Negative,S,Timeseries,Fish,19,"Lloyd, P., S. Weeks, M. Magno-Canto, G. Plaganyi and E. Plaganyi. 2010 Ocean warming alters species abundance patterns and increases species richness in an African sub-tropical reef-fish community. Fisheries Oceanography 21: 78-94"
2130,-29.42,31.32,y,1989,2007,y,,Bodianus perditio,Time series,0.88366,Negative,S,Timeseries,Fish,19,"Lloyd, P., S. Weeks, M. Magno-Canto, G. Plaganyi and E. Plaganyi. 2010 Ocean warming alters species abundance patterns and increases species richness in an African sub-tropical reef-fish community. Fisheries Oceanography 21: 78-94"
101080,59.62,7.05,y,1955,2009,,,Bonnemaisonia asparagoides,Irregular,1,Positive,N,Irregular,Macroalgae,55,"Vivian Husa, Henning Steen & Kjersti Sjøtun (2014) Historical changes in macroalgal communities in Hardangerfjord (Norway), Marine Biology Research, 10:3, 226-240, DOI: 10.1080/17451000.2013.810751"
101080,59.62,7.05,y,1955,2009,,,Bonnemaisonia hamifera,Irregular,0.92001,Positive,N,Irregular,Macroalgae,55,"Vivian Husa, Henning Steen & Kjersti Sjøtun (2014) Historical changes in macroalgal communities in Hardangerfjord (Norway), Marine Biology Research, 10:3, 226-240, DOI: 10.1080/17451000.2013.810751"
2145,62.3,-82.3,y,1981,2002,y,y,Boreogadus saida ,Time series,0.53821,Negative,N,Timeseries,Fish,22,"Gaston, A.J., K. Woo and M. Hipfner. 2003. Trends in forage fish populations in Northern Hudson Bay since 1981, as determined from the diet of nestling thick-billed murres Uria lomvia. Arctic 56:227-233"
2145,62.56,-77.96,y,1980,1999,,,Boreogadus saida ,Irregular,0.5466,Negative,N,Irregular,Fish,20,"Gaston, A.J., K. Woo and M. Hipfner. 2003. Trends in forage fish populations in Northern Hudson Bay since 1981, as determined from the diet of nestling thick-billed murres Uria lomvia. Arctic 56:227-233"
2116,-42,148.3,y,1880,2010,,,Brachionichthys hirsutus,Irregular,0.68337,Negative,S,Irregular,Fish,131,"Last, P.R., W.T. White, D.C. Gledhill, A.J. Hobday, R. Brown, G.J. Edgar and G. Pecl. 2010. Long-term shifts in abundance and distribution of a temperate fish fauna: a response to climate change and fishing practices. Global Ecology and Biogeography."
1010,46,-3,y,1987,2006,,y,Buglossidium luteum ,Time series,0.55765,Positive,N,Timeseries,Fish,20,"Hermant, M., J. Lobry, S. Bonhommeau, J. Poulard and O. Le Pape. 2010. Impact of warming on abundance and occurrence of flatfish populations in the Bay of Biscay (France). Journal of Sea Research 64: 45-53"
1098,50.15,-4.15,y,1913,2002,y,y,Buglossidium luteum ,Irregular,0.72167,Positive,N,Irregular,Fish,90,"Genner, M.J., D.W. Sims, V.J. Wearmouth, E.J. Southall, A.J. Southward, P.A. Henderson and S.J. Hawkins. 2004. Regional climatic warming drives long-term community change of British marine fish. Proceedings of the Royal Society of London Series B. 271: 65"
1033,52.9,4.6,y,1970,2006,,,Buglossidium luteum ,Time series,0.83035,Positive,N,Timeseries,Fish,37,"Tulp, I., Bolle, L.J. and A.D. Rijnsdorp. 2008. Signals from the shallows: In search of common patterns in long-term trends in Dutch estuarine and coastal fish. Journal of Sea Research. 60: 54-73"
1008,53.75,5,y,1969,2008,,,Buglossidium luteum ,Time series,0.86394,Positive,N,Timeseries,Fish,40,"van Hal, R., K. Smits and A.D. Rijnsdorp 2010. How climate warming impacts the distribution and abundance of two small flatfish species in the North Sea. Journal of Sea Research 64: 76-84."
2112,48,-18,y,1960,2000,y,y,Calanus finmarchicus,Time series,0.18989,Negative,N,Timeseries,Zooplankton,41,"Beaugrand, G. and P.C. Reid. 2003. Long-term changes in phytoplankton, zooplankton and salmon related to climate. Global Change Biology 9:801-817"
2151,55,1,y,1958,2004,,,Calanus finmarchicus,Time series,0.36614,Negative,N,Timeseries,Zooplankton,47,"Kirby, R.R. and G. Beaugrand. 2009. Trophic amplification of climate warming. Proceedings of the Royal Society of London Series B: Biological Sciences 276: 4095-4103"
2108,55,2,y,1958,2000,,,Calanus finmarchicus,Time series,0.36614,Negative,N,Timeseries,Zooplankton,43,"Beaugrand, G., K.M. Brander, J.A. Lindley, S. Soussi and P.C. Reid. 2003. Plankton effect on cod recruitment in the North Sea. Nature 426:661-664"
12042,56.03,5.6,n,1958,2002,,,Calanus finmarchicus,Time series,0.39207,Negative,N,Timeseries,Zooplankton,45,"Kamenos, N.A. 2010. North Atlantic summers have warmed more than winters since 1353, and the response of marine zooplankton. Proceedings of the National Academy of Science USA. 107: 22442-22447."
2129,58.2,1.9,y,1958,1999,,,Calanus finmarchicus,Time series,0.44671,Negative,N,Timeseries,Zooplankton,42,"Beaugrand, G. Long-term changes in copepod abundance and diversity in the north-east Atlantic in relation to fluctuations in the hydroclimatic environment. 2003. Fisheries Oceanography 12: 270-283"
2108,55,2,y,1958,2000,,,Calanus helgolandicus,Time series,0.72818,Positive,N,Timeseries,Zooplankton,43,"Beaugrand, G., K.M. Brander, J.A. Lindley, S. Soussi and P.C. Reid. 2003. Plankton effect on cod recruitment in the North Sea. Nature 426:661-664"
2063,55,3,n,1958,2002,,,Calanus helgolandicus,Time series,0.72818,Positive,N,Timeseries,Zooplankton,45,Bonnet et al. 2005. An overview of Calanus helgolandicus ecology in European waters. Progress in Oceanography 65: 1-53
2129,58.2,1.9,y,1958,1999,,,Calanus helgolandicus,Time series,0.8725,Positive,N,Timeseries,Zooplankton,42,"Beaugrand, G. Long-term changes in copepod abundance and diversity in the north-east Atlantic in relation to fluctuations in the hydroclimatic environment. 2003. Fisheries Oceanography 12: 270-283"
1098,51.2,-3.13,y,1981,2002,y,y,Callionymus lyra,Time series,0.13087,Positive,N,Timeseries,Fish,22,"Genner, M.J., D.W. Sims, V.J. Wearmouth, E.J. Southall, A.J. Southward, P.A. Henderson and S.J. Hawkins. 2004. Regional climatic warming drives long-term community change of British marine fish. Proceedings of the Royal Society of London Series B. 271: 65"
1033,51.42,3.58,y,1970,2006,,,Callionymus lyra,Time series,0.15243,Positive,N,Timeseries,Fish,37,"Tulp, I., Bolle, L.J. and A.D. Rijnsdorp. 2008. Signals from the shallows: In search of common patterns in long-term trends in Dutch estuarine and coastal fish. Journal of Sea Research. 60: 54-73"
1033,52.9,4.6,y,1970,2006,y,,Callionymus lyra,Time series,0.29741,Positive,N,Timeseries,Fish,37,"Tulp, I., Bolle, L.J. and A.D. Rijnsdorp. 2008. Signals from the shallows: In search of common patterns in long-term trends in Dutch estuarine and coastal fish. Journal of Sea Research. 60: 54-73"
1033,53.15,5.15,y,1970,2006,,,Callionymus lyra,Time series,0.3219,Positive,N,Timeseries,Fish,37,"Tulp, I., Bolle, L.J. and A.D. Rijnsdorp. 2008. Signals from the shallows: In search of common patterns in long-term trends in Dutch estuarine and coastal fish. Journal of Sea Research. 60: 54-73"
2051,36.62,-121.91,y,1931,1996,y,,Calliostoma ligatum,Irregular,0.05315,Positive,N,Irregular,Invertebrates,66,"Sagarin, R. D., J. P. Barry, S. E. Gilman, and C. H. Baxter. 1999. Climate-related change in an intertidal community over short and long time scales. Ecological Monographs 69:465-490"
101080,59.62,7.05,y,1955,2009,,,Callithamnion corymbosum,Irregular,0.94001,Positive,N,Irregular,Macroalgae,55,"Vivian Husa, Henning Steen & Kjersti Sjøtun (2014) Historical changes in macroalgal communities in Hardangerfjord (Norway), Marine Biology Research, 10:3, 226-240, DOI: 10.1080/17451000.2013.810751"
1101,41.26,-71.25,y,1959,2005,y,,Cancer borealis,Time series,0.78092,Positive,N,Timeseries,Invertebrates,47,"Collie, J.S, Wood A.D. and Jeffries H.P. 2008 Long-term shifts in the species composition of a coastal fish community. Canadian Journal of Fisheries and Aquatic Sciences. 65: 1352-1365"
1101,41.34,-71.25,y,1959,2005,y,,Cancer borealis,Time series,0.78545,Positive,N,Timeseries,Invertebrates,47,"Collie, J.S, Wood A.D. and Jeffries H.P. 2008 Long-term shifts in the species composition of a coastal fish community. Canadian Journal of Fisheries and Aquatic Sciences. 65: 1352-1365"
1080,46,-1.5,n,1973,2002,y,y,Capros aper,Irregular,0.81141,Positive,N,Irregular,Fish,30,"Blanchard, F. and F. Vandermeirsch. 2005 Warming and exponential abundance increase of the subtropical fish Capros aper in the Bay of Biscay (1973-2002). C.R. Biologies 328: 505-509"
2130,-29.42,31.32,y,1989,2007,y,,Carangoides fulvoguttatus,Time series,1,Positive,S,Timeseries,Fish,19,"Lloyd, P., S. Weeks, M. Magno-Canto, G. Plaganyi and E. Plaganyi. 2010 Ocean warming alters species abundance patterns and increases species richness in an African sub-tropical reef-fish community. Fisheries Oceanography 21: 78-94"
2116,-42,148.3,y,1880,2010,,,Carcharias taurus,Irregular,1,Negative,S,Irregular,Fish,131,"Last, P.R., W.T. White, D.C. Gledhill, A.J. Hobday, R. Brown, G.J. Edgar and G. Pecl. 2010. Long-term shifts in abundance and distribution of a temperate fish fauna: a response to climate change and fishing practices. Global Ecology and Biogeography."
101016,53,8,y,1972,2014,y,,Carcinus maenas ,Time series,0.56825,Positive,N,Timeseries,Invertebrates,43,"Meyer, Julia; Kroencke, Ingrid; Bartholomae, Alexander; et al., Long-term changes in species composition of demersal fish and epibenthic species in the Jade area (German Wadden Sea/Southern North Sea) since 1972, ESTUARINE COASTAL AND SHELF SCIENCE   Volume: 181   Pages: 284-293 DOI:10.1016/j.ecss.2016.08.047"
2059,30.5,131.3,n,1985,2004,y,,Caretta caretta N,Time series,0.39944,Positive,N,Timeseries,Mammalsandreptiles,20,"Chaloupka M., N. Kamezaki and C. Limpus. 2008. Is climate change affecting the population dynamics of the endangered Pacific loggerhead sea turtle? Journal of Experimental Marine Biology and Ecology 356: 136-143"
2059,33,134.2,n,1954,2004,y,,Caretta caretta N,Time series,0.46104,Negative,N,Timeseries,Mammalsandreptiles,51,"Chaloupka M., N. Kamezaki and C. Limpus. 2008. Is climate change affecting the population dynamics of the endangered Pacific loggerhead sea turtle? Journal of Experimental Marine Biology and Ecology 356: 136-143"
2059,-24.6,153,n,1977,2004,y,,Caretta caretta S,Time series,0.46513,Negative,S,Timeseries,Mammalsandreptiles,28,"Chaloupka M., N. Kamezaki and C. Limpus. 2008. Is climate change affecting the population dynamics of the endangered Pacific loggerhead sea turtle? Journal of Experimental Marine Biology and Ecology 356: 136-143"
2059,-24.6,153,n,1967,2004,y,,Caretta caretta S,Time series,0.46513,Negative,S,Timeseries,Mammalsandreptiles,38,"Chaloupka M., N. Kamezaki and C. Limpus. 2008. Is climate change affecting the population dynamics of the endangered Pacific loggerhead sea turtle? Journal of Experimental Marine Biology and Ecology 356: 136-143"
1095,30,-86.5,y,1971,2006,,,Centropristis philadelphica,Irregular,0.59555,Positive,N,Irregular,Fish,36,"Fodrie, F.J., K.L. Heck, S.P. Powers, W.M. Graham and K.L. Robinson. 2010. Climate-related, decadal-scale assemblage changes of seagrass-associated fishes in the northern Gulf of Mexico. Global Change Biology 16: 48-59"
2130,-29.42,31.32,y,1989,2007,y,,Cephalopholis sonnerati,Time series,0.87762,Positive,S,Timeseries,Fish,19,"Lloyd, P., S. Weeks, M. Magno-Canto, G. Plaganyi and E. Plaganyi. 2010 Ocean warming alters species abundance patterns and increases species richness in an African sub-tropical reef-fish community. Fisheries Oceanography 21: 78-94"
1098,50.15,-4.15,y,1913,2002,y,y,Cepola macrophthalma,Irregular,0.92551,Positive,N,Irregular,Fish,90,"Genner, M.J., D.W. Sims, V.J. Wearmouth, E.J. Southall, A.J. Southward, P.A. Henderson and S.J. Hawkins. 2004. Regional climatic warming drives long-term community change of British marine fish. Proceedings of the Royal Society of London Series B. 271: 65"
1078,52.92,4.85,y,1973,2002,y,y,Cerastoderma edule,Two point,0.6683,Negative,N,Twopoint,Invertebrates,30,"Beukema, J.J. and R. Dekker. 2005. Decline of recruitment success in cockles and other bivalves in the Wadden Sea: possible role of climate change, predation on postlarvae and fisheries. Marine Ecology Progress Series 287: 149-167"
